,exp_name,agent_id,batch,rewards,metacog,compawa,planning,metacog_con,compawa_con,planning_con,step
0,llm_baseline_full_p_3.log,gpt5,0,57.61818839249019,2,2,3,"['A2', 'A5']","['B2', 'B4']","['C1', 'C3', 'C6', 'C7']",0
1,llm_baseline_full_p_3.log,gpt5,0,57.61818839249019,3,2,3,"['A1', 'A3']","['B2', 'B4']","['C1', 'C3', 'C5', 'C6']",1
2,llm_baseline_full_p_3.log,gpt5,0,57.61818839249019,3,3,4,"['A1', 'A3', 'A5']","['B1', 'B3']","['C1', 'C2', 'C5', 'C7']",2
3,llm_baseline_full_p_3.log,gpt5,0,57.61818839249019,4,3,4,"['A1', 'A3']","['B1', 'B2', 'B3']","['C1', 'C3', 'C5', 'C6']",3
4,llm_baseline_full_p_3.log,gpt5,0,57.61818839249019,4,3,4,"['A1', 'A3', 'A5']","['B2', 'B3']","['C1', 'C2', 'C5', 'C7']",4
5,llm_baseline_full_p_3.log,gpt5,0,57.61818839249019,4,3,4,"['A1', 'A3', 'A5']","['B2', 'B3']","['C1', 'C3', 'C5', 'C7']",5
6,llm_baseline_full_p_3.log,gpt5,0,57.61818839249019,4,4,4,"['A1', 'A3']","['B1', 'B3']","['C1', 'C3', 'C5', 'C6']",6
7,llm_baseline_full_p_3.log,gpt5,0,57.61818839249019,4,3,3,"['A1', 'A3']","['B1', 'B3']","['C2', 'C5', 'C6']",7
8,llm_baseline_full_p_3.log,gpt5,0,57.61818839249019,4,2,4,"['A1', 'A3']",['B4'],"['C1', 'C6', 'C7']",8
9,llm_baseline_full_p_3.log,gpt5,0,57.61818839249019,4,2,4,"['A3', 'A4']",['B2'],"['C1', 'C5', 'C6', 'C7']",9
10,llm_baseline_full_p_3.log,kimi,0,6.904850298727761,3,2,3,"['A1', 'A2', 'A5']","['B2', 'B5']","['C2', 'C5', 'C7']",0
11,llm_baseline_full_p_3.log,kimi,0,6.904850298727761,4,3,4,"['A2', 'A3', 'A4', 'A6']","['B1', 'B3', 'B4']","['C1', 'C2', 'C5', 'C6']",1
12,llm_baseline_full_p_3.log,kimi,0,6.904850298727761,4,3,4,"['A2', 'A4', 'A6']","['B3', 'B4']","['C1', 'C2', 'C5', 'C6']",2
13,llm_baseline_full_p_3.log,kimi,0,6.904850298727761,4,4,4,"['A1', 'A2', 'A6']","['B1', 'B2', 'B4', 'B5']","['C2', 'C5', 'C7']",3
14,llm_baseline_full_p_3.log,kimi,0,6.904850298727761,4,4,4,"['A3', 'A6']","['B2', 'B3', 'B4', 'B5']","['C1', 'C2', 'C3', 'C5', 'C7']",4
15,llm_baseline_full_p_3.log,kimi,0,6.904850298727761,4,4,4,"['A3', 'A6']","['B1', 'B3', 'B4']","['C2', 'C5', 'C7']",5
16,llm_baseline_full_p_3.log,kimi,0,6.904850298727761,4,4,4,"['A2', 'A3', 'A6']","['B3', 'B4']","['C2', 'C5', 'C6', 'C7']",6
17,llm_baseline_full_p_3.log,kimi,0,6.904850298727761,4,4,4,"['A2', 'A3', 'A6']","['B2', 'B3', 'B4']","['C2', 'C3', 'C5', 'C6', 'C7']",7
18,llm_baseline_full_p_3.log,kimi,0,6.904850298727761,4,4,4,"['A3', 'A6']","['B1', 'B3', 'B4']","['C2', 'C5', 'C6', 'C7']",8
19,llm_baseline_full_p_3.log,kimi,0,6.904850298727761,4,5,4,"['A3', 'A6']","['B2', 'B3', 'B4', 'B5']","['C2', 'C5', 'C6', 'C7']",9
20,llm_baseline_full_p_3.log,qwen,0,7.9856070337814815,2,1,2,"['A1', 'A2', 'A5']",[],"['C2', 'C3']",0
21,llm_baseline_full_p_3.log,qwen,0,7.9856070337814815,3,2,3,"['A1', 'A2', 'A3']","['B2', 'B3']","['C2', 'C3', 'C5']",1
22,llm_baseline_full_p_3.log,qwen,0,7.9856070337814815,3,3,3,"['A1', 'A2', 'A3']","['B3', 'B1']","['C2', 'C3', 'C5']",2
